"abs"	"ord"
-35	214
80	-294
397	32
-303	270
-92	-8
-80	-244
-281	-11
-308	59
-110	300
255	283
-161	-92
-154	31
-273	96
-400	-93
31	-128
-282	92
-149	230
-58	187
-204	82
269	-22
-216	117
-107	205
-138	103
131	-76
-260	-167
29	-79
136	-115
-133	209
-9	-283
-223	15
194	-277
-307	-121
-21	184
-186	168
275	-81
-227	166
-215	280
76	-161
-80	272
-20	-85
276	152
-187	118
-84	198
392	-19
266	205
-244	24
-43	239
36	-109
364	-75
98	-179
-2	131
-15	27
343	112
140	-71
279	126
140	72
212	129
-216	293
222	82
309	145
307	228
14	-166
-90	220
-191	-231
-269	234
-28	-110
-190	-43
259	142
288	-150
70	-246
-41	296
395	-10
90	27
252	189
-250	-136
