"abs" "ord"
256 110
286 -154
-273 -30
293 -162
18 218
303 -113
-93 -255
-312 199
398 225
357 -216
89 -108
182 55
222 -206
-301 97
203 15
85 -156
-115 208
295 113
-58 130
329 -254
134 281
-148 187
89 27
-48 -42
-328 -163
-79 89
254 271
-90 284
-356 159
57 -15
-105 -271
-257 220
248 131
-303 235
-281 109
282 -25
207 -124
175 231
206 222
-139 -99
130 -270
321 -50
195 -74
-136 -260
102 -43
180 166
-179 258
150 -123
-57 -184
12 176
274 262
68 26
193 212
101 -101
-329 209
2 82
-297 180
354 173
287 52
96 192
272 -150
-1 271
27 32
262 207
-313 -17
-286 -229
347 -196
325 -28
-17 -208
-303 -240
-330 66
-355 -31
239 124
-149 -12
232 31
