"abs" "ord"
171 148
265 -83
-101 -274
152 -32
-40 -290
332 -7
-330 -260
-81 43
321 9
275 71
-101 -235
358 202
-84 16
-70 -211
-124 -214
76 -144
-141 88
352 -104
-387 -211
234 -57
-289 89
-140 48
-12 -71
-258 -114
-121 -150
-380 -71
46 69
4 -14
212 -112
-395 253
-257 -187
105 218
53 -281
369 -93
-374 -268
-135 225
-45 -32
-190 18
-197 -217
-167 -70
-34 238
227 -278
-288 47
228 28
-339 -33
-118 173
97 66
-266 170
-25 -156
-263 -113
-395 167
-164 210
-385 -255
249 295
-104 -181
320 238
316 93
-92 -174
-327 254
248 -16
-230 253
66 -81
-72 77
-354 29
-153 -67
-190 223
341 -158
207 -214
47 -100
-61 50
-54 83
-192 -152
-244 -70
131 -63
-154 62
