"abs" "ord"
-253 117
-118 15
304 -296
-35 -12
252 -206
-109 -134
341 -69
366 -144
104 50
-206 76
399 -281
272 -64
284 16
-16 -215
-88 39
302 251
-219 48
-12 195
-76 -71
-281 77
-274 167
-56 84
59 -20
290 -178
270 -163
-348 -254
-30 20
-398 -298
17 172
-219 171
26 193
-110 145
195 -183
76 201
263 -286
346 279
-277 -195
-40 275
-244 268
-212 -8
-114 130
47 40
-120 1
-20 293
-294 150
319 187
-310 212
-102 53
109 124
-282 143
244 -127
172 -115
-194 -60
105 72
-103 190
-61 -85
158 -177
59 6
76 264
287 212
-38 -123
-30 97
-238 239
-256 -97
352 -143
-266 -239
70 122
33 -15
234 208
-75 -101
-287 174
-294 -179
-288 -14
-224 249
-45 -197
