"abs" "ord"
309 -51
361 295
174 124
-54 134
-56 -188
-113 144
129 -135
108 -244
-2 -269
-295 256
-285 -153
-322 128
-237 240
176 -272
-99 51
-119 27
-85 -283
-279 -50
-180 -277
344 -157
-159 -129
397 -298
53 -4
-354 6
101 -89
54 -198
281 11
-361 -205
-126 -8
-187 -18
183 -40
6 157
371 -227
334 -93
114 11
264 -283
289 24
-291 -73
-258 67
225 296
177 -263
379 155
-363 -39
355 191
-62 -243
340 249
130 -241
-313 -235
187 -134
-334 -39
-278 67
-392 -148
238 -237
142 -185
208 -191
-269 47
-169 194
-2 196
14 -236
318 -146
377 -37
236 257
32 -212
115 -248
-150 165
-15 -77
340 259
-181 -9
-373 -183
2 -283
-104 94
-238 -79
381 54
-89 93
118 -195
