"abs" "ord"
225 258
-195 -191
175 -266
-348 138
-197 198
-300 280
-28 193
-330 -85
-317 286
-327 295
188 64
-75 -188
123 74
-168 72
-116 141
361 36
-126 25
287 -24
312 -99
-33 232
-98 169
-330 -173
-315 241
257 -126
240 169
-334 139
-116 -3
316 187
397 36
220 -102
-399 155
377 -236
235 -230
-113 -188
388 -80
144 -265
-387 -116
-385 -206
-251 69
205 65
-132 -53
201 -18
-137 -287
-253 181
-189 -207
21 243
6 71
-370 272
384 208
-143 -165
-75 63
-207 83
-383 47
115 107
-261 -31
-157 -283
67 -35
374 -44
-271 -85
321 -194
7 -150
-137 39
-261 -289
-314 -34
299 123
-358 204
-224 215
295 -151
236 87
274 -158
245 112
370 -129
-317 -65
-203 70
220 111
