"abs"	"ord"
-164	4
20	-116
-2	-44
-192	116
274	-249
362	-165
68	-135
-368	-137
-64	69
-377	-42
341	91
339	41
-164	-232
55	58
-349	-85
-63	-43
194	-269
-206	-141
184	-61
394	202
262	219
398	69
332	165
-25	-87
-8	-56
-208	124
-194	203
357	-156
86	162
-280	-86
374	21
191	-244
-389	-198
-365	240
-352	-46
-6	149
210	194
182	273
394	111
-226	0
116	-135
46	-163
240	-291
329	137
-259	-150
-317	-203
-98	-290
334	-8
69	-238
105	181
49	-87
-208	262
334	-152
-187	-16
-242	-185
-368	50
380	-24
112	-20
242	-60
108	3
-27	-281
-184	-231
16	-19
-90	-62
-11	200
28	157
-99	44
-242	-31
67	-250
255	-169
331	-255
-288	21
-128	85
-361	15
219	-276
