"abs" "ord"
-339 -207
-30 281
25 -19
169 166
-216 -55
-218 23
369 -176
52 -188
22 168
181 -184
-139 -39
398 -299
380 201
54 198
0 274
89 269
84 60
-173 -143
-353 86
-262 16
-107 229
96 64
-354 144
-204 182
218 241
-332 -244
-96 45
145 45
339 267
191 -169
-307 -13
386 -273
148 179
231 -79
-325 38
-120 -152
297 141
312 122
258 142
-26 181
-45 151
-78 80
242 -151
337 31
-377 -159
-8 -145
360 272
-140 214
-221 -135
-203 33
-20 226
-307 -229
121 28
-111 -160
-190 61
170 128
246 89
-383 -187
-31 -157
-338 -258
202 -228
101 71
-76 -199
-201 -212
-178 -186
24 45
259 -300
311 -103
-94 -253
-134 63
-399 -104
-152 174
278 -169
-303 186
-379 -178
