"abs" "ord"
-31 -283
-295 -247
-92 -15
-239 231
396 -245
34 154
-377 -279
143 221
-388 39
-400 268
-1 121
343 96
247 70
-215 190
366 5
334 -106
-64 -73
321 102
35 280
80 -25
356 -146
23 -164
-303 261
-369 -182
336 13
376 -29
309 -165
121 -151
221 -281
61 -262
59 216
101 -32
68 247
-243 234
313 -101
391 212
329 34
83 -59
-319 90
-292 -69
-117 -46
-354 -41
178 -140
-69 -296
-337 -126
-192 135
73 158
24 -149
-252 -264
-162 44
-200 -92
78 192
-34 140
240 49
-13 -271
-67 -34
-54 -67
-237 -168
341 -187
-287 -214
-89 -199
86 9
-137 277
-118 -203
326 85
-267 -180
-219 269
372 -122
305 -21
362 -99
-84 228
-176 26
-388 -165
-79 -148
258 -176
