"abs" "ord"
-57 -20
-114 -175
28 180
-296 91
-107 -107
88 131
-19 -125
-218 259
-101 161
260 87
143 -26
321 -246
93 -41
-396 27
-103 -217
123 257
-335 -299
382 -141
-117 -134
-135 13
384 -166
384 -55
-57 69
-229 -171
370 98
-167 287
184 -241
-208 67
-250 17
-69 190
114 -175
-133 74
-55 261
-296 -190
-81 -64
-177 -94
-80 264
-370 269
-107 -56
270 146
233 240
294 -127
-211 -2
-319 226
372 -93
267 -142
254 5
136 -194
-111 276
-316 -237
64 -220
173 -260
-31 -213
-25 -93
-63 285
-289 -132
188 136
230 -87
-290 -287
-46 217
-365 260
306 299
-195 199
-379 89
-177 -264
93 -268
289 -168
-184 -221
-272 238
-363 -111
-10 100
-327 -2
-196 180
-126 103
334 -155
