"abs" "ord"
-29 -126
362 152
228 66
211 245
-198 -277
181 293
331 -45
239 -159
347 -224
256 275
-396 -97
-202 -227
203 -234
286 -40
99 -56
172 81
383 86
353 -55
-338 -219
-136 -108
40 218
-364 -28
-340 -107
248 -17
-183 248
-29 -72
-275 281
138 23
248 102
-33 -80
-41 46
243 57
-395 -251
-374 -185
-337 -24
219 236
-379 27
214 269
-318 -155
-94 250
-136 -62
-24 162
-81 -280
-241 -63
-84 -84
226 -251
-34 211
176 103
-236 -139
-152 -108
152 -36
18 61
-199 257
-267 -299
-5 287
318 28
301 213
70 95
233 160
-206 242
73 2
-398 -44
-325 -181
292 -76
-129 90
166 28
152 120
156 249
-28 65
32 42
-163 137
58 123
-79 78
22 204
-378 57
