"abs" "ord"
329 44
391 176
-376 234
285 252
273 99
66 -164
192 135
-380 20
307 -108
284 49
276 -98
-389 151
-173 208
397 99
56 140
-219 -290
340 -179
110 -58
-122 -199
-334 143
122 -25
-302 -197
307 14
-199 101
-234 -156
166 -174
-212 165
-360 219
386 124
280 283
204 105
118 196
252 28
98 -101
-254 -125
-350 228
364 -19
350 129
326 55
138 -148
147 258
390 -134
240 -42
-352 166
0 -232
343 54
-67 80
13 -31
-242 59
202 104
135 -225
381 -200
-263 71
59 0
-389 127
216 -122
386 275
1 -235
341 167
-40 235
-174 127
-49 284
320 -290
-16 -126
80 -293
360 65
240 -231
-2 -143
-385 249
3 216
172 214
-317 264
251 268
191 -46
11 218
