"abs" "ord"
242 -167
-157 -285
-86 -176
392 -171
57 -34
339 -220
81 -66
-57 -78
-326 101
214 295
374 -229
192 -295
-61 230
-263 -119
-136 -4
-61 0
342 -59
-145 286
220 -85
212 -5
-58 240
-74 -288
-287 -108
13 -232
47 17
286 248
-108 -63
330 -71
39 280
154 209
357 -180
318 284
-328 -19
-258 240
-197 -297
4 227
-135 188
381 265
-23 -156
172 153
-363 276
-271 133
43 43
-78 -193
32 -63
347 -179
-225 194
-279 107
-181 -154
-74 260
-397 298
273 22
-270 53
-5 238
163 -156
274 247
166 97
-174 149
-193 86
-74 -214
-365 -192
-309 -108
51 -75
-238 -259
-182 212
14 -146
291 40
104 -103
94 8
-298 177
-134 -206
-227 -186
-266 89
141 201
-372 -176
