"abs" "ord"
-310 -64
-305 -263
231 141
-4 72
241 -184
-228 -287
-164 -275
-106 -158
151 -6
384 261
-18 -86
397 -250
-49 243
-83 123
229 -162
-252 146
362 -11
64 -107
138 212
397 -120
-287 -275
-286 -197
54 228
-199 156
-375 -146
91 111
243 86
-215 -249
379 135
63 40
-303 -13
-56 224
85 -274
-229 -156
-334 218
15 -259
305 68
61 264
-356 -292
354 -160
-131 -119
-137 -134
-112 252
-4 -263
-144 -287
-27 -196
-145 230
125 47
381 -45
-262 -292
-58 227
183 100
-312 9
266 -194
-93 -294
264 -239
242 -251
-249 34
53 127
-397 171
85 149
392 -243
339 -113
100 -71
2 229
163 -66
79 213
367 -294
-137 -223
210 250
124 38
397 -26
-353 -141
-306 48
23 -268
