"abs"	"ord"
207	-141
86	-77
-225	44
-217	245
-278	-179
-101	239
95	267
-193	96
110	77
-140	-263
252	-176
174	-194
225	112
270	-70
189	162
-262	-1
141	131
266	295
-293	-72
140	166
-106	261
393	-173
252	91
386	-225
-180	-140
285	-68
190	-292
113	-71
78	222
392	-96
15	-11
212	60
-108	-4
340	-188
-38	196
-167	101
171	177
174	-235
-119	134
371	-53
115	193
-357	88
-198	170
-351	32
-9	18
-186	174
79	-286
-249	-14
34	139
-379	116
-119	-13
-134	217
-96	-37
-338	-153
-193	-258
-138	-240
307	-110
321	11
-62	97
385	-56
376	248
-357	-124
-61	-25
-225	-101
262	91
-187	-145
-126	-13
61	160
398	-249
-25	225
-40	-97
-363	204
-155	-92
-263	-100
-53	-14
