"abs" "ord"
195 -134
287 -300
9 6
290 -292
62 -261
-301 273
253 -248
1 -126
-324 228
123 -226
236 -195
-80 -36
82 244
212 211
-74 140
105 44
130 -11
-284 -102
190 -205
-390 -12
-59 -178
383 108
-200 -82
-248 -90
104 -263
-170 -10
-109 -61
-158 -290
324 -225
297 -61
-56 3
149 -103
-71 -53
377 -179
-252 188
231 85
-317 -134
-356 -238
-242 -146
366 -265
58 -152
-165 -171
209 -4
-208 92
-162 -103
357 218
-70 83
79 -292
-224 17
-19 201
269 2
213 59
-349 -45
17 -113
162 -167
109 -34
92 -52
-264 189
233 -202
-126 58
83 -219
-52 151
-315 -196
209 48
-243 151
40 -190
-9 -266
-321 -1
-185 -185
-119 72
12 112
46 -45
-89 -44
-293 -177
143 263
