"abs"	"ord"
142	293
-183	-61
-317	-231
101	-258
-68	-154
-303	175
353	-96
-167	283
-23	-200
199	-25
378	-197
-396	-161
270	164
280	-242
-328	-28
188	-249
89	36
101	-295
384	291
-49	-110
255	84
54	-123
-196	298
62	244
169	293
-10	-261
-389	76
-173	-6
-73	283
-69	-83
-100	108
-86	-142
-191	-189
-161	-189
-117	-72
81	208
11	-1
105	174
221	203
251	-26
162	180
195	-71
127	156
280	-38
35	243
-334	-108
-347	-250
399	190
233	239
-127	280
160	44
-393	132
169	164
133	77
359	134
121	-68
-388	-202
-34	-188
-271	-65
47	-136
-153	-185
-118	3
-215	158
-5	116
81	26
387	95
-294	-19
50	-11
29	-98
-59	-45
-63	-128
-102	61
97	204
-331	73
224	-219
