"abs"	"ord"
312	-241
31	-7
-278	-82
-316	-48
-328	-119
-35	-211
175	239
38	-166
277	280
-232	-215
62	-261
-389	-62
283	26
215	228
-157	-166
-299	253
-377	-149
224	198
-145	65
241	-41
-11	-208
-96	51
-300	-279
-62	-102
140	-149
-42	-122
79	-14
43	-146
-104	186
231	-18
18	64
258	-160
381	-5
-245	64
-166	-120
380	101
-81	-252
-348	-54
269	-280
-139	-135
372	-38
173	72
-237	165
-2	-9
-64	-191
-377	114
214	173
-375	-135
105	259
-151	-201
162	-218
-69	-200
195	-122
-356	-52
340	-253
126	231
-137	-236
-273	-253
-74	55
-261	210
67	-275
-8	-243
-227	138
-316	40
-59	160
266	66
-115	-10
39	-180
-87	51
117	293
-342	277
-211	-277
-318	52
371	75
150	121
