"abs" "ord"
331 -240
-235 -155
367 -238
-52 -105
71 51
-112 -244
41 197
388 220
-143 -228
52 -160
-285 290
-37 -64
-344 -119
-237 79
-237 -194
-149 196
-302 98
169 -83
-311 220
311 -82
167 100
169 71
151 284
-318 289
-35 73
256 -89
398 -8
89 240
252 109
145 -204
-114 -80
-376 -221
-335 -255
111 133
-132 -5
-347 -240
-317 253
198 -110
300 -103
124 -260
-11 67
8 -299
191 292
-153 110
-313 -256
-228 221
-182 276
-83 133
0 60
-351 90
-88 -22
-43 128
-89 -179
-242 73
-206 1
392 -5
257 10
288 194
291 37
-188 -212
127 -51
-128 -207
381 36
152 -85
-155 9
-121 159
-147 8
-388 85
399 -48
-76 -124
-133 -229
194 236
150 -152
97 -253
-398 -284
