"abs" "ord"
220 -80
354 109
-22 155
-331 73
109 89
-60 121
291 163
112 -33
-203 189
-272 297
310 79
-368 -228
375 115
19 24
213 42
306 54
146 -279
-395 215
-317 55
-227 157
107 223
28 108
-248 -51
134 -97
-354 -235
-332 258
391 -268
349 -149
-265 -94
-156 170
-330 65
-200 105
357 9
188 -209
262 36
-198 -5
-38 -300
1 118
-51 270
254 100
-316 223
271 -128
8 -54
395 -25
-25 44
246 -46
-230 96
-187 -227
78 101
-278 43
-387 6
255 -79
-199 183
-162 -20
-3 -40
-348 25
-27 -258
-285 224
238 -46
-166 139
-257 -38
154 -156
-340 159
168 292
-327 195
343 179
36 -67
-1 -274
38 162
-276 -101
278 -100
-250 -165
150 -298
144 -263
384 245
