"abs" "ord"
-39 -172
227 149
168 -120
-95 189
109 -276
161 -251
112 239
-187 197
252 -292
386 -210
-378 -101
270 -261
83 265
54 -71
256 195
-199 277
4 -15
294 131
367 1
37 -80
-288 293
364 -65
-86 -165
-185 -254
58 125
330 -173
347 -41
304 -167
357 -128
252 -101
-374 -261
354 -4
358 -147
322 -203
42 -221
-220 184
345 170
-208 -90
348 99
-42 -5
-262 -92
277 -279
-59 -9
366 263
-292 209
235 -81
309 238
-387 -164
-358 54
259 -222
34 -163
126 -90
-342 -78
25 -198
-111 222
-250 -229
-30 156
-95 -89
292 160
211 258
-380 280
19 -253
-341 95
-83 -263
277 -6
-307 221
-338 -191
143 -254
-182 -269
-362 -35
-355 -15
135 -21
-321 -281
350 -17
-342 -19
