"abs" "ord"
257 189
-192 154
-167 -50
-26 93
361 160
-91 -93
-338 -235
-277 -56
-332 -227
384 -269
-49 140
-7 238
182 -100
327 264
47 -159
-11 -96
-230 -273
86 219
-388 -58
236 -25
249 -162
-289 185
42 -292
220 192
-116 284
-182 132
-53 87
236 225
-353 50
35 48
377 193
158 -197
-357 -15
204 -292
-280 -127
130 122
-70 93
-38 -18
-92 -97
293 -25
272 95
-301 163
266 170
106 -174
23 3
-248 276
-83 -269
-86 -219
379 80
36 218
253 183
369 -241
27 92
206 9
29 -103
122 -84
-184 250
356 223
-393 -161
-53 87
231 158
4 -81
211 -69
-239 235
87 111
-193 230
344 101
-277 -13
-368 -204
-152 69
-157 296
84 56
300 -284
321 79
-355 71
