"abs" "ord"
34 -189
232 121
-357 44
383 -199
-334 266
-235 266
-207 -223
-392 200
-390 -19
-326 30
62 32
93 -157
-364 156
94 -192
393 -57
177 212
26 286
189 -165
202 -33
331 -255
294 97
-256 -67
-94 202
67 -210
196 -92
11 -7
227 -210
147 -86
166 278
301 -221
-250 -294
176 -201
-392 186
129 221
118 9
-64 76
-78 207
248 -129
-80 100
-280 -210
-280 289
-261 -122
41 -231
-389 -202
-155 266
-18 177
183 285
107 -91
222 1
374 186
139 -296
139 -291
-166 110
350 258
-63 -135
-89 187
260 172
-224 293
35 68
-238 126
259 162
-394 232
395 75
90 -144
-203 215
-372 -38
-181 -67
-228 -23
-110 -169
386 -260
245 -135
-72 -114
-37 -275
-292 -189
326 -190
