"abs"	"ord"
76	4
38	57
271	185
109	137
331	-209
-7	274
261	152
176	211
388	104
272	-68
322	95
-161	-107
-138	67
307	164
328	-140
32	149
161	180
-358	-48
300	73
-287	245
-216	110
-47	235
-245	-24
226	-217
396	48
-65	289
94	-22
-209	10
-170	24
79	67
-307	-63
-134	195
-86	247
216	197
74	-35
100	161
139	12
-256	-211
-257	179
179	292
-236	-69
-6	156
-133	-217
-231	21
-345	196
305	-167
104	85
-396	278
-109	162
-108	-262
-395	187
233	271
58	121
-69	-91
215	-288
104	-299
234	202
26	221
157	109
285	274
-105	176
-186	-220
-315	133
-311	-184
325	-175
-116	298
-155	208
230	-233
-395	264
312	-54
368	202
-304	-148
-356	-28
351	-283
129	-232
