"abs" "ord"
270 124
-143 165
144 -123
159 -11
-34 -98
161 -252
-67 132
-157 -158
301 -181
-305 147
322 -63
362 78
163 -103
13 -104
-40 108
274 -242
-312 181
291 273
-295 -1
-164 217
-362 244
-310 -31
144 -135
280 217
238 166
-166 -113
92 254
252 -60
-400 -78
-383 272
-47 108
-168 157
-259 79
379 211
140 -263
145 173
-357 -137
373 -75
-382 -118
118 -281
298 18
328 75
99 136
-86 168
281 274
-41 255
-67 64
-177 82
123 145
120 98
-351 22
193 -214
-38 20
-8 -121
203 -29
173 -299
-384 28
-246 125
-35 196
-177 211
-340 8
-59 152
-102 133
112 222
-155 -138
252 113
309 -261
175 -281
-153 -147
-170 9
121 215
-241 180
106 300
-45 -296
-150 -86
