"abs" "ord"
-56 60
-87 288
-299 213
-180 73
-307 -152
-360 -151
-291 -6
319 35
-377 272
153 -220
364 259
94 -5
-292 -100
-249 62
63 -2
-225 113
-40 -187
109 253
269 95
253 -167
136 -15
-219 131
-236 227
-129 291
-354 3
255 -91
-308 -230
-338 118
-217 5
70 155
49 -10
0 241
-35 -155
-218 -264
15 17
306 -39
-56 -202
329 -151
266 -110
-150 280
350 17
-372 -47
-9 241
207 251
-81 2
137 -166
186 231
185 -9
-272 -189
186 -204
87 67
-108 -176
285 3
31 -224
-368 153
-179 238
301 -222
-341 -70
148 -51
165 127
310 -186
-352 -283
49 -143
-213 -173
28 33
91 121
-80 115
337 -12
-89 -16
-335 -149
-330 -294
-18 114
290 287
-49 279
-396 -278
