"Abscisse"	"Ordonnee"
91	-269
7	-33
-86	-15
-349	208
161	-156
-99	-72
-66	-74
360	-94
-364	-63
-54	215
28	37
-67	254
-230	175
292	-48
235	114
-7	271
54	40
231	-156
-17	-163
-257	-115
358	-6
74	-236
392	-285
-367	-257
341	-3
-25	140
221	-150
318	155
-129	-149
-155	48
-202	287
248	172
31	57
-155	-158
-158	244
-285	79
190	83
24	-170
-216	-292
239	-8
330	69
160	119
-31	242
-82	-24
-398	167
237	-76
-64	-11
238	-279
-370	296
208	-115
371	201
378	210
-94	242
66	134
166	-233
-136	-12
-269	270
-343	-252
43	-74
13	223
-261	222
126	258
168	-296
-186	-5
-47	78
250	10
252	236
31	-74
11	-47
-341	166
-33	50
-249	291
-74	239
337	3
20	-276
-123	199
18	144
-305	26
-335	-222
-161	289
-81	-174
337	-110
144	-27
136	33
202	-219
107	-284
-201	169
-118	-298
-267	-38
-122	-180
-171	-151
-7	-225
-190	270
-324	-21
354	229
84	-8
266	73
176	181
-45	44
384	-192
-353	145
-221	148
337	-20
14	-154
-185	-283
370	74
295	-24
256	-243
323	-103
-84	197
-91	-128
-307	-211
-367	-227
-185	248
-173	-3
244	281
-299	-70
-286	162
-5	-165
86	-5
-399	-47
-194	-261
-338	-222
339	-186
291	182
-184	14
-135	15
374	69
335	288
-41	105
162	-242
4	-70
-238	-149
394	215
91	14
-34	-55
366	39
-149	-276
35	83
-145	174
146	45
393	-88
-364	102
-86	-130
94	27
283	44
314	-96
-137	252
-271	97
383	-205
