"Abscisse"	"Ordonnee"
-236	233
-223	-202
304	-30
-80	253
30	-199
-395	82
-393	-19
61	47
264	-224
-43	129
381	-213
125	52
-147	-90
285	-57
-261	137
345	-92
-124	272
-218	-107
-169	-263
-218	80
239	-250
-100	245
380	114
377	-233
393	196
-45	143
-352	-88
-66	26
-379	116
119	3
-284	-157
240	262
-231	-157
-316	-93
-135	31
223	57
-272	-129
-14	-16
100	-24
-333	25
114	-272
301	-263
317	240
-328	-275
-108	172
350	-275
202	240
179	-45
259	101
349	-245
-393	-226
-268	-213
-176	-254
-33	84
-34	266
-263	266
200	-276
-170	75
78	-88
-364	194
-313	135
93	193
-245	-1
244	119
-389	11
-244	-253
-70	-277
