"Abscisse"	"Ordonnee"
81	123
389	-12
257	-182
229	262
-34	222
-315	-172
396	-286
134	213
233	122
-231	275
321	189
287	71
109	264
-364	165
-335	-270
305	70
360	-181
-255	-154
285	-263
364	-180
182	-36
39	-82
-277	139
238	-245
-377	-119
398	-85
-315	-89
373	17
-388	97
-214	64
-254	-156
-116	99
-358	-249
154	230
231	69
-50	-112
47	-30
148	286
-214	165
-157	293
-163	115
275	-159
282	200
4	-198
233	-83
152	-129
-76	156
299	298
97	-282
-369	45
-95	154
242	222
70	-235
-222	244
88	174
-322	169
-311	17
152	-239
-41	-94
-90	267
252	59
196	-138
98	279
-108	-255
-314	115
-399	172
206	-248
-370	296
-109	-264
-142	-106
172	-150
-235	125
0	100
-291	105
