"Abscisse"	"Ordonnee"
-239	17
139	281
-49	252
375	-240
-275	281
-112	-173
21	248
187	168
-63	-34
-358	-80
-66	-251
203	-228
-91	285
379	58
-123	65
-236	110
-253	51
-7	163
377	-2
-197	152
150	-299
-297	3
-237	-140
-308	-267
116	140
-48	70
373	-276
-63	278
385	243
-103	-114
-384	2
150	-94
-316	-178
71	111
59	43
311	23
190	280
-124	256
127	215
182	-111
108	-73
200	-193
216	-166
-24	-154
77	-32
155	-1
-399	-242
370	-248
-208	-100
135	99
-195	-105
172	-233
233	235
-278	-86
82	161
-77	-169
202	-173
-96	-116
26	-270
-91	134
122	-21
-174	-239
275	136
379	246
292	288
-177	82
96	-49
-99	-9
-205	-220
304	51
58	-187
99	40
-43	264
-339	-84
360	41
-363	-158
-21	-156
387	91
-351	-42
-178	-223
-185	-125
245	-92
379	-65
-5	-33
-108	-23
309	241
219	-281
246	67
-396	183
33	289
-304	-220
6	-253
-279	233
107	180
-152	167
-168	-41
