"Abscisse"	"Ordonnee"
346	-65
152	-224
110	-93
-56	177
238	-182
-322	-9
-318	289
-13	-243
68	212
377	248
-285	54
-21	276
-227	-190
-12	-183
91	274
124	-133
-142	24
-147	33
345	172
16	-181
363	89
229	-46
197	107
130	210
-45	115
207	-102
-342	-247
143	-106
-203	-122
-57	-87
107	-213
374	18
-378	276
69	258
368	-86
-325	-58
12	168
-60	-41
-191	-181
364	119
27	285
-119	-226
164	-71
314	234
360	-1
-124	241
373	-80
-261	244
-227	243
10	36
109	-207
-143	68
69	121
-395	177
383	39
-234	165
300	-261
349	-214
39	-294
189	-166
-63	252
283	-210
-179	195
-313	113
163	212
41	-80
-176	124
217	198
-6	253
-308	141
-348	-240
-144	-230
-140	-190
205	106
169	298
-64	296
375	31
-100	-98
297	-214
327	-169
-190	74
292	-287
360	65
358	-166
62	-69
-114	92
-340	-101
251	183
22	225
48	-90
-68	27
278	-132
-392	48
-285	-283
-241	-232
147	276
-385	12
251	-92
-48	99
-251	83
115	-245
252	-166
-116	-84
21	146
-91	113
257	250
82	55
-194	-79
-320	215
-349	-201
33	-147
-14	-254
287	188
-168	250
159	197
7	82
-41	63
-355	-254
234	-120
380	61
