"Abscisse"	"Ordonnee"
-53	43
-329	-261
-60	94
51	-264
331	-251
162	-98
272	210
332	177
109	-166
-172	73
-365	80
-280	-102
348	-61
253	-53
-122	132
369	-252
-62	28
218	-105
382	-264
26	139
208	128
-74	102
335	-96
-173	-288
-272	153
-256	-132
78	-194
129	-53
-35	-248
-263	-34
387	-77
-225	-113
-276	-112
-257	-283
69	-280
361	101
-43	296
58	43
46	-140
-183	208
-293	152
-196	84
387	100
-344	-29
15	132
-218	-243
36	-37
325	79
-323	260
-383	102
-387	-133
283	168
223	202
87	170
315	157
291	-242
111	-282
319	162
282	59
384	238
102	-255
291	-13
-231	-10
-110	151
-394	184
389	71
152	171
-35	-179
392	-159
-167	289
-345	-172
-349	-41
-129	-225
-4	167
-209	9
150	-213
267	205
361	-8
-18	-122
-35	161
-287	157
260	213
109	267
80	231
-88	34
-73	278
-111	92
276	-29
217	-150
-51	-234
-288	278
22	-66
-222	-212
14	-128
-352	36
268	120
-152	-35
-6	39
182	-170
170	258
-392	-213
176	-2
-262	25
243	240
36	58
5	234
-324	-19
-393	-134
-240	-198
-365	-43
162	-277
-358	123
-280	-283
375	201
153	-76
306	209
284	175
-165	242
-41	170
-363	-197
-293	255
311	-59
-323	132
215	-213
-341	224
-147	87
318	272
353	198
-91	-245
-75	-145
-375	222
-39	-178
-279	266
-181	-32
390	295
206	0
-374	21
-28	-167
