"Abscisse"	"Ordonnee"
-358	-127
285	173
-111	-55
-131	230
265	264
-242	-273
-338	17
-278	235
-277	31
-376	-26
-237	274
-205	-28
-29	107
-106	44
-352	-238
46	240
-282	-152
181	-275
52	-103
-216	273
-83	234
-368	116
188	84
172	297
90	93
-30	125
99	26
-267	56
-236	-127
-319	-212
-143	278
320	241
-271	114
190	177
-10	-285
66	-13
358	155
282	-170
-81	-109
-307	-161
119	-214
177	-51
284	-52
-272	-79
161	-209
-294	-217
-149	-160
17	-20
233	-140
137	215
-38	-273
-331	-35
-199	179
-340	-227
247	37
-307	-176
-33	-223
-105	152
-170	237
215	-75
122	99
-261	-243
-257	-70
314	-135
177	189
241	-31
-97	186
-23	187
-53	177
211	-36
-142	153
66	78
-284	126
-208	-300
26	-15
-343	-168
131	-72
-54	68
218	-89
11	-233
158	-154
345	101
-362	-49
351	173
123	-238
279	-39
16	291
157	236
18	232
-192	-195
-17	-222
-19	92
-9	-94
-104	94
-2	-108
326	-187
-316	169
11	-244
309	-20
243	7
-266	60
-19	-100
-53	-7
-296	273
243	-10
223	234
96	249
205	65
-329	-54
151	-212
-86	261
153	-119
219	-264
301	269
105	132
94	-215
-31	30
-34	272
38	51
-137	-57
-294	89
95	-108
134	-115
