"Abscisse"	"Ordonnee"
-48	-20
245	-93
-223	-101
127	-15
-211	-151
-328	-114
281	-283
216	-58
281	132
-296	-167
324	216
257	165
326	-158
315	-33
-247	-77
98	236
-202	-129
41	-138
29	132
360	-179
-241	126
259	-77
-220	93
32	296
-56	-118
-109	205
310	26
-144	-228
98	233
-152	-190
-86	49
-234	-82
-91	-283
-88	-7
20	139
-108	-45
35	191
-15	162
48	-173
-374	-62
182	119
-11	288
-316	54
-25	-89
217	-261
176	260
159	-284
126	15
188	-244
369	-245
-279	49
-292	4
-92	-49
31	-243
137	11
175	268
-4	-37
273	56
-358	-283
-386	90
164	-229
-291	-33
-72	-214
-147	210
34	218
285	-123
68	-222
-357	135
-260	-21
212	74
-159	-296
-67	-118
22	108
178	-263
187	169
-393	-98
50	-101
384	-142
-70	-110
-29	108
90	64
-353	-298
-218	-298
-240	-98
34	-235
106	277
256	238
-310	-26
-121	159
257	132
357	-155
145	-115
-390	-108
-171	-156
247	146
23	-60
134	208
10	-45
