"Abscisse"	"Ordonnee"
-96	39
-163	-212
-353	226
-299	49
-347	-93
20	200
-83	291
307	-296
-388	46
185	211
-95	113
141	-295
-7	-182
-164	72
-209	-178
-285	248
-371	-279
364	-213
-314	128
309	154
321	56
172	-201
139	24
364	-66
235	-296
366	53
37	-166
307	10
-316	234
-223	71
252	186
-112	288
-80	-51
240	-271
-145	-41
328	294
-361	-127
84	4
-392	-126
-311	-241
-316	63
-115	-67
232	-199
12	-262
84	7
-70	169
388	27
-167	-30
-347	287
-223	-224
-386	49
-388	-201
-77	208
146	-242
45	-293
206	-247
-184	-255
181	198
-331	-8
-21	-186
-284	-106
149	-201
-348	145
389	-103
-297	-143
106	-147
222	-27
179	152
-361	272
-64	-246
276	58
375	169
276	-116
-73	-105
367	-212
23	134
93	246
278	102
121	7
117	15
131	47
319	145
-382	-150
-238	-47
-338	-207
179	-262
332	-195
-376	-156
342	-73
-172	-246
375	-32
-113	186
-328	-49
-207	-257
-396	283
-37	-57
214	223
280	-117
-17	218
-57	-195
-363	-53
-387	45
-309	235
-75	140
-112	230
-179	132
39	232
124	-263
-176	7
25	237
57	51
-187	-296
-216	-126
295	-214
