"abs"	"ord"	Clust2	Segregation	Seg_High	Seg_Medium	Seg_Low	Seg_No
-220	80	1	Orange	Orange	Orange	Orange	Orange
-354	-109	1	Orange	Orange	Orange	Green	Green
22	-155	2	Green	Green	Green	Orange	Orange
331	-73	2	Green	Green	Green	Green	Green
-109	-89	1	Orange	Orange	Orange	Orange	Orange
60	-121	2	Green	Green	Green	Green	Orange
-291	-163	1	Orange	Orange	Orange	Green	Orange
-112	33	1	Orange	Orange	Orange	Orange	Green
203	-189	2	Green	Green	Green	Green	Orange
272	-297	2	Green	Green	Green	Orange	Green
-310	-79	1	Orange	Green	Orange	Orange	Orange
368	228	2	Green	Green	Green	Green	Orange
-375	-115	1	Orange	Orange	Orange	Orange	Orange
-19	-24	1	Orange	Orange	Green	Orange	Orange
-213	-42	1	Orange	Orange	Green	Orange	Green
-306	-54	1	Orange	Green	Orange	Orange	Green
-146	279	1	Orange	Orange	Orange	Green	Green
395	-215	2	Green	Green	Orange	Green	Orange
317	-55	2	Green	Orange	Green	Green	Orange
227	-157	2	Green	Green	Green	Orange	Orange
-107	-223	1	Orange	Orange	Orange	Green	Orange
-28	-108	1	Orange	Orange	Green	Orange	Green
248	51	2	Green	Green	Orange	Green	Orange
-134	97	1	Orange	Orange	Green	Orange	Orange
354	235	2	Green	Green	Orange	Orange	Green
332	-258	2	Green	Green	Green	Green	Green
-391	268	1	Orange	Orange	Orange	Orange	Green
-349	149	1	Orange	Orange	Orange	Orange	Orange
265	94	2	Green	Green	Green	Orange	Orange
156	-170	2	Green	Green	Green	Orange	Orange
330	-65	2	Green	Green	Green	Green	Orange
200	-105	2	Green	Green	Green	Orange	Orange
-357	-9	1	Orange	Orange	Orange	Green	Orange
-188	209	1	Orange	Orange	Orange	Orange	Green
-262	-36	1	Orange	Orange	Orange	Orange	Orange
198	5	2	Green	Green	Green	Orange	Green
38	300	1	Orange	Orange	Orange	Green	Green
-1	-118	1	Orange	Orange	Orange	Orange	Orange
51	-270	2	Green	Green	Green	Green	Green
-254	-100	1	Orange	Orange	Orange	Orange	Green
316	-223	2	Green	Green	Green	Green	Orange
-271	128	1	Orange	Orange	Orange	Green	Orange
-8	54	1	Orange	Orange	Orange	Orange	Green
-395	25	1	Orange	Orange	Orange	Green	Orange
25	-44	1	Orange	Orange	Orange	Orange	Orange
-246	46	1	Orange	Orange	Orange	Green	Green
230	-96	2	Green	Green	Orange	Orange	Green
187	227	2	Green	Green	Green	Green	Orange
-78	-101	1	Orange	Orange	Orange	Orange	Orange
278	-43	2	Green	Green	Green	Green	Green
387	-6	2	Green	Green	Green	Green	Orange
-255	79	1	Orange	Orange	Orange	Orange	Green
199	-183	2	Green	Green	Green	Green	Green
162	20	2	Green	Green	Orange	Orange	Orange
3	40	1	Orange	Orange	Green	Green	Orange
348	-25	2	Green	Green	Green	Orange	Green
27	258	1	Orange	Green	Green	Green	Green
285	-224	2	Green	Green	Green	Green	Orange
-238	46	1	Orange	Orange	Orange	Orange	Green
166	-139	2	Green	Green	Green	Orange	Green
257	38	2	Green	Green	Green	Green	Green
-154	156	1	Orange	Orange	Orange	Orange	Orange
340	-159	2	Green	Green	Green	Green	Green
-168	-292	1	Orange	Orange	Orange	Orange	Orange
327	-195	2	Green	Green	Green	Green	Orange
-343	-179	1	Orange	Orange	Orange	Orange	Orange
-36	67	1	Orange	Orange	Orange	Green	Orange
1	274	1	Orange	Orange	Orange	Orange	Green
-38	-162	1	Orange	Orange	Orange	Orange	Green
276	101	2	Green	Green	Green	Green	Green
-278	100	1	Orange	Orange	Orange	Green	Orange
250	165	2	Green	Orange	Green	Orange	Orange
-150	298	1	Orange	Orange	Orange	Green	Green
-144	263	1	Orange	Orange	Orange	Green	Orange
-384	-245	1	Orange	Orange	Orange	Orange	Orange
