"abs"	"ord"	Clust2	Segregation	Seg_High	Seg_Medium	Seg_Low	Seg_No
-142	-293	2	Green	Green	Green	Green	Green
183	61	1	Orange	Orange	Orange	Orange	Orange
317	231	1	Orange	Orange	Green	Green	Orange
-101	258	1	Orange	Orange	Orange	Green	Orange
68	154	1	Orange	Orange	Orange	Green	Green
303	-175	1	Orange	Orange	Orange	Orange	Green
-353	96	2	Green	Green	Green	Orange	Green
167	-283	1	Orange	Orange	Orange	Orange	Orange
23	200	1	Orange	Orange	Orange	Green	Orange
-199	25	2	Green	Green	Green	Green	Orange
-378	197	2	Green	Green	Green	Green	Orange
396	161	1	Orange	Green	Orange	Orange	Orange
-270	-164	2	Green	Green	Green	Green	Green
-280	242	2	Green	Green	Green	Orange	Green
328	28	1	Orange	Orange	Green	Green	Orange
-188	249	2	Green	Green	Green	Orange	Orange
-89	-36	2	Green	Green	Green	Green	Orange
-101	295	1	Orange	Orange	Orange	Orange	Orange
-384	-291	2	Green	Green	Green	Orange	Orange
49	110	1	Orange	Orange	Green	Orange	Green
-255	-84	2	Green	Green	Green	Green	Green
-54	123	1	Orange	Orange	Orange	Green	Orange
196	-298	1	Orange	Orange	Orange	Green	Green
-62	-244	2	Green	Orange	Green	Green	Green
-169	-293	2	Green	Green	Green	Green	Green
10	261	1	Orange	Green	Orange	Green	Green
389	-76	1	Orange	Orange	Orange	Orange	Green
173	6	1	Orange	Orange	Orange	Orange	Green
73	-283	2	Green	Green	Green	Green	Orange
69	83	1	Orange	Orange	Orange	Orange	Green
100	-108	1	Orange	Green	Green	Orange	Orange
86	142	1	Orange	Orange	Green	Green	Green
191	189	1	Orange	Orange	Orange	Orange	Orange
161	189	1	Orange	Orange	Orange	Green	Green
117	72	1	Orange	Green	Orange	Orange	Green
-81	-208	2	Green	Green	Orange	Green	Green
-11	1	1	Orange	Orange	Green	Orange	Green
-105	-174	2	Green	Green	Green	Orange	Orange
-221	-203	2	Green	Green	Green	Green	Orange
-251	26	2	Green	Orange	Green	Orange	Green
-162	-180	2	Green	Green	Green	Green	Green
-195	71	2	Green	Green	Green	Green	Green
-127	-156	2	Green	Green	Green	Orange	Green
-280	38	2	Green	Orange	Green	Green	Orange
-35	-243	2	Green	Orange	Green	Orange	Green
334	108	1	Orange	Orange	Orange	Green	Green
347	250	1	Orange	Orange	Green	Orange	Orange
-399	-190	2	Green	Green	Green	Orange	Orange
-233	-239	2	Green	Green	Orange	Green	Green
127	-280	1	Orange	Orange	Orange	Orange	Orange
-160	-44	2	Green	Green	Green	Orange	Orange
393	-132	1	Orange	Orange	Orange	Orange	Orange
-169	-164	2	Green	Green	Green	Green	Orange
-133	-77	2	Green	Green	Green	Green	Orange
-359	-134	2	Green	Green	Green	Green	Green
-121	68	2	Green	Green	Green	Green	Green
388	202	1	Orange	Orange	Orange	Orange	Green
34	188	1	Orange	Orange	Orange	Orange	Orange
271	65	1	Orange	Orange	Orange	Orange	Green
-47	136	1	Orange	Orange	Orange	Green	Orange
153	185	1	Orange	Orange	Orange	Orange	Orange
118	-3	1	Orange	Orange	Orange	Orange	Orange
215	-158	1	Orange	Orange	Orange	Orange	Orange
5	-116	2	Green	Green	Green	Green	Green
-81	-26	2	Green	Green	Green	Green	Green
-387	-95	2	Green	Green	Orange	Orange	Green
294	19	1	Orange	Green	Green	Green	Orange
-50	11	2	Green	Green	Green	Green	Orange
-29	98	1	Orange	Orange	Orange	Green	Green
59	45	1	Orange	Orange	Orange	Orange	Orange
63	128	1	Orange	Orange	Orange	Green	Orange
102	-61	1	Orange	Orange	Green	Orange	Orange
-97	-204	2	Green	Green	Green	Orange	Green
331	-73	1	Orange	Orange	Orange	Orange	Orange
-224	219	2	Green	Green	Green	Green	Green
