"abs"	"ord"	Clust2	Segregation	Seg_High	Seg_Medium	Seg_Low	Seg_No
39	172	2	Green	Green	Orange	Green	Orange
-227	-149	1	Orange	Orange	Orange	Orange	Green
-168	120	1	Orange	Orange	Orange	Green	Orange
95	-189	2	Green	Green	Green	Green	Green
-109	276	1	Orange	Orange	Orange	Orange	Green
-161	251	1	Orange	Orange	Orange	Orange	Green
-112	-239	1	Orange	Orange	Orange	Orange	Orange
187	-197	2	Green	Green	Green	Green	Orange
-252	292	1	Orange	Orange	Orange	Orange	Orange
-386	210	1	Orange	Orange	Orange	Orange	Orange
378	101	2	Green	Green	Green	Green	Green
-270	261	1	Orange	Orange	Orange	Green	Orange
-83	-265	1	Orange	Orange	Orange	Orange	Orange
-54	71	1	Orange	Orange	Orange	Orange	Orange
-256	-195	1	Orange	Orange	Green	Green	Orange
199	-277	2	Green	Green	Green	Green	Green
-4	15	1	Orange	Orange	Green	Green	Orange
-294	-131	1	Orange	Orange	Green	Orange	Green
-367	-1	1	Orange	Green	Orange	Orange	Green
-37	80	1	Orange	Orange	Orange	Orange	Orange
288	-293	2	Green	Green	Green	Green	Orange
-364	65	1	Orange	Orange	Orange	Green	Orange
86	165	2	Green	Green	Green	Orange	Green
185	254	2	Green	Green	Green	Orange	Green
-58	-125	1	Orange	Orange	Green	Orange	Orange
-330	173	1	Orange	Orange	Green	Green	Orange
-347	41	1	Orange	Orange	Green	Orange	Orange
-304	167	1	Orange	Orange	Orange	Orange	Orange
-357	128	1	Orange	Orange	Orange	Green	Orange
-252	101	1	Orange	Orange	Green	Orange	Green
374	261	2	Green	Green	Green	Orange	Green
-354	4	1	Orange	Orange	Orange	Green	Green
-358	147	1	Orange	Orange	Orange	Green	Orange
-322	203	1	Orange	Orange	Orange	Orange	Green
-42	221	1	Orange	Orange	Orange	Green	Orange
220	-184	2	Green	Green	Green	Green	Green
-345	-170	1	Orange	Orange	Orange	Orange	Green
208	90	2	Green	Orange	Green	Green	Green
-348	-99	1	Orange	Orange	Orange	Green	Green
42	5	2	Green	Green	Green	Orange	Orange
262	92	2	Green	Green	Green	Orange	Orange
-277	279	1	Orange	Orange	Green	Green	Orange
59	9	2	Green	Green	Green	Green	Orange
-366	-263	1	Orange	Orange	Orange	Orange	Green
292	-209	2	Green	Orange	Green	Green	Green
-235	81	1	Orange	Green	Orange	Green	Orange
-309	-238	1	Orange	Orange	Orange	Green	Green
387	164	2	Green	Green	Green	Orange	Orange
358	-54	2	Green	Green	Green	Orange	Green
-259	222	1	Orange	Orange	Green	Orange	Green
-34	163	1	Orange	Green	Orange	Orange	Green
-126	90	1	Orange	Orange	Orange	Orange	Orange
342	78	2	Green	Green	Green	Green	Orange
-25	198	1	Orange	Orange	Green	Green	Green
111	-222	2	Green	Green	Green	Orange	Green
250	229	2	Green	Green	Orange	Orange	Orange
30	-156	2	Green	Green	Green	Green	Green
95	89	2	Green	Green	Green	Green	Orange
-292	-160	1	Orange	Orange	Orange	Green	Green
-211	-258	1	Orange	Green	Orange	Orange	Orange
380	-280	2	Green	Green	Green	Green	Orange
-19	253	1	Orange	Orange	Orange	Green	Orange
341	-95	2	Green	Green	Orange	Orange	Green
83	263	2	Green	Green	Green	Green	Green
-277	6	1	Orange	Orange	Green	Green	Green
307	-221	2	Green	Orange	Green	Green	Orange
338	191	2	Green	Green	Green	Orange	Orange
-143	254	1	Orange	Orange	Orange	Orange	Green
182	269	2	Green	Green	Green	Orange	Green
362	35	2	Green	Green	Green	Green	Orange
355	15	2	Green	Green	Orange	Green	Orange
-135	21	1	Orange	Orange	Green	Orange	Orange
321	281	2	Green	Green	Green	Green	Orange
-350	17	1	Orange	Orange	Green	Orange	Green
342	19	2	Green	Green	Green	Orange	Green
