"abs"	"ord"	Clust2	Segregation	Seg_High	Seg_Medium	Seg_Low	Seg_No
-337	-199	1	Orange	Orange	Green	Green	Green
236	185	2	Green	Green	Green	Green	Orange
213	-69	2	Green	Green	Green	Green	Orange
374	-103	2	Green	Green	Green	Orange	Green
84	61	2	Green	Green	Green	Orange	Orange
-338	63	1	Orange	Orange	Orange	Orange	Green
-287	-225	1	Orange	Orange	Orange	Orange	Orange
2	-123	2	Green	Green	Green	Green	Orange
-212	47	1	Orange	Orange	Orange	Green	Green
-106	79	1	Orange	Orange	Orange	Green	Green
323	7	2	Green	Orange	Green	Green	Green
80	3	2	Green	Green	Green	Orange	Green
-222	20	1	Orange	Orange	Orange	Orange	Green
142	34	2	Green	Green	Green	Green	Orange
-325	221	1	Orange	Orange	Orange	Green	Orange
381	198	2	Green	Green	Green	Green	Green
-51	-233	1	Orange	Green	Orange	Orange	Orange
-337	122	1	Orange	Green	Orange	Orange	Green
-164	238	1	Orange	Orange	Orange	Green	Orange
52	-132	2	Green	Green	Green	Orange	Green
296	-163	2	Green	Green	Green	Orange	Green
380	-291	2	Green	Green	Orange	Orange	Green
258	-223	2	Green	Green	Green	Green	Green
-189	-244	1	Orange	Orange	Orange	Orange	Orange
96	-158	2	Green	Orange	Orange	Orange	Green
136	175	2	Green	Orange	Green	Orange	Orange
-248	60	1	Orange	Orange	Orange	Orange	Orange
325	246	2	Green	Green	Green	Green	Green
-211	36	1	Orange	Green	Orange	Orange	Orange
-300	153	1	Orange	Orange	Green	Green	Green
294	-72	2	Green	Green	Orange	Orange	Orange
53	-76	2	Green	Orange	Green	Green	Orange
342	-198	2	Green	Green	Orange	Green	Green
125	-28	2	Green	Green	Green	Green	Orange
-111	-145	1	Orange	Orange	Orange	Orange	Orange
-47	-98	1	Orange	Orange	Orange	Orange	Orange
-61	234	1	Orange	Orange	Orange	Green	Orange
113	-179	2	Green	Green	Green	Green	Orange
104	48	2	Green	Green	Orange	Green	Green
355	-175	2	Green	Green	Green	Orange	Green
-88	-131	1	Orange	Orange	Orange	Orange	Orange
202	172	2	Green	Orange	Green	Green	Green
238	-196	2	Green	Green	Orange	Green	Orange
-379	42	1	Orange	Orange	Orange	Green	Green
-394	-48	1	Orange	Orange	Orange	Orange	Green
47	-139	2	Green	Green	Green	Orange	Orange
204	-271	2	Green	Green	Green	Green	Orange
106	-238	2	Green	Green	Orange	Orange	Green
143	-112	2	Green	Green	Green	Orange	Orange
23	180	1	Orange	Orange	Orange	Orange	Green
3	-162	2	Green	Green	Green	Green	Green
-96	-172	1	Orange	Orange	Orange	Orange	Green
-58	226	1	Orange	Orange	Orange	Green	Green
131	296	2	Green	Green	Green	Green	Orange
-260	207	1	Orange	Orange	Orange	Orange	Orange
303	246	2	Green	Orange	Green	Orange	Orange
-84	-17	1	Orange	Orange	Orange	Orange	Green
-143	-165	1	Orange	Green	Orange	Green	Green
286	-223	2	Green	Green	Green	Orange	Orange
31	-132	2	Green	Green	Green	Green	Green
-103	190	1	Orange	Orange	Orange	Orange	Green
-231	-265	1	Orange	Orange	Orange	Orange	Green
-274	182	1	Orange	Green	Orange	Green	Orange
-296	-237	1	Orange	Orange	Orange	Orange	Green
-237	160	1	Orange	Orange	Orange	Green	Green
356	-117	2	Green	Green	Green	Green	Orange
-213	162	1	Orange	Orange	Orange	Orange	Green
206	24	2	Green	Green	Green	Orange	Orange
-289	-83	1	Orange	Orange	Green	Orange	Green
344	-244	2	Green	Green	Green	Green	Orange
329	156	2	Green	Green	Green	Green	Green
210	156	2	Green	Green	Orange	Orange	Orange
-238	242	1	Orange	Orange	Orange	Orange	Orange
-118	280	1	Orange	Orange	Orange	Green	Orange
-346	9	1	Orange	Orange	Green	Green	Orange
