"abs"	"ord"	Clust2	Segregation	Seg_High	Seg_Medium	Seg_Low	Seg_No
312	241	1	Orange	Green	Green	Orange	Green
31	7	1	Orange	Green	Orange	Orange	Orange
-278	82	2	Green	Orange	Green	Green	Orange
-316	48	2	Green	Green	Green	Green	Green
-328	119	2	Green	Green	Orange	Green	Orange
-35	211	2	Green	Orange	Green	Green	Orange
175	-239	1	Orange	Orange	Green	Orange	Green
38	166	1	Orange	Orange	Green	Green	Green
277	-280	1	Orange	Orange	Orange	Green	Orange
-232	215	2	Green	Green	Green	Green	Orange
62	261	1	Orange	Orange	Orange	Orange	Green
-389	62	2	Green	Green	Green	Green	Green
283	-26	1	Orange	Orange	Green	Orange	Orange
215	-228	1	Orange	Orange	Orange	Orange	Green
-157	166	2	Green	Green	Green	Orange	Orange
-299	-253	2	Green	Green	Green	Green	Green
-377	149	2	Green	Orange	Green	Orange	Green
224	-198	1	Orange	Orange	Orange	Orange	Orange
-145	-65	2	Green	Green	Orange	Orange	Orange
241	41	1	Orange	Orange	Orange	Green	Orange
-11	208	2	Green	Green	Orange	Orange	Orange
-96	-51	2	Green	Green	Green	Orange	Orange
-300	279	2	Green	Green	Green	Green	Orange
-62	102	2	Green	Green	Green	Orange	Orange
140	149	1	Orange	Orange	Orange	Orange	Green
-42	122	2	Green	Green	Green	Orange	Orange
79	14	1	Orange	Orange	Orange	Orange	Orange
43	146	1	Orange	Orange	Orange	Orange	Orange
-104	-186	2	Green	Green	Green	Green	Green
231	18	1	Orange	Green	Orange	Orange	Green
18	-64	1	Orange	Orange	Orange	Green	Orange
258	160	1	Orange	Green	Orange	Orange	Orange
381	5	1	Orange	Orange	Orange	Orange	Orange
-245	-64	2	Green	Green	Green	Green	Green
-166	120	2	Green	Green	Orange	Green	Orange
380	-101	1	Orange	Orange	Orange	Green	Orange
-81	252	2	Green	Green	Green	Orange	Green
-348	54	2	Green	Green	Green	Orange	Orange
269	280	1	Orange	Orange	Orange	Orange	Green
-139	135	2	Green	Green	Green	Green	Green
372	38	1	Orange	Orange	Orange	Orange	Orange
173	-72	1	Orange	Orange	Orange	Orange	Green
-237	-165	2	Green	Green	Green	Green	Orange
-2	9	1	Orange	Green	Orange	Orange	Green
-64	191	2	Green	Green	Orange	Orange	Orange
-377	-114	2	Green	Orange	Green	Orange	Orange
214	-173	1	Orange	Orange	Orange	Orange	Green
-375	135	2	Green	Green	Green	Orange	Green
105	-259	1	Orange	Orange	Orange	Orange	Green
-151	201	2	Green	Green	Green	Orange	Green
162	218	1	Orange	Orange	Orange	Green	Green
-69	200	2	Green	Green	Orange	Green	Orange
195	122	1	Orange	Orange	Orange	Orange	Orange
-356	52	2	Green	Green	Green	Green	Green
340	253	1	Orange	Orange	Orange	Orange	Orange
126	-231	1	Orange	Orange	Green	Orange	Orange
-137	236	2	Green	Green	Green	Green	Orange
-273	253	2	Green	Green	Green	Green	Orange
-74	-55	2	Green	Green	Green	Orange	Orange
-261	-210	2	Green	Green	Green	Green	Orange
67	275	1	Orange	Orange	Orange	Green	Green
-8	243	2	Green	Orange	Orange	Orange	Green
-227	-138	2	Green	Green	Orange	Green	Orange
-316	-40	2	Green	Green	Orange	Orange	Orange
-59	-160	2	Green	Green	Orange	Orange	Green
266	-66	1	Orange	Orange	Orange	Orange	Orange
-115	10	2	Green	Green	Orange	Green	Orange
39	180	1	Orange	Orange	Orange	Green	Green
-87	-51	2	Green	Green	Green	Orange	Green
117	-293	1	Orange	Orange	Green	Orange	Green
-342	-277	2	Green	Green	Green	Green	Green
-211	277	2	Green	Orange	Green	Green	Orange
-318	-52	2	Green	Orange	Green	Green	Green
371	-75	1	Orange	Orange	Orange	Orange	Green
150	-121	1	Orange	Orange	Green	Green	Green
